matrícula volMax pesoMax custo
13-EF-55 391 395 13796
56-TW-43 325 316 13378
09-GD-75 255 275 13025
00-VS-12 343 277 15226
34-JH-86 344 306 14015
87-WA-77 365 259 16982
33-DG-12 288 346 13476
21-IL-87 382 304 14967
32-QW-99 256 289 14860
90-UI-32 265 274 14952
76-OP-72 287 342 15977
54-RE-37 393 377 16543
23-GS-76 366 375 15556
11-OZ-21 259 354 13356
80-QN-59 365 301 13406
52-EN-70 394 379 13241
01-YZ-24 281 287 14581
17-IA-63 262 384 15363
69-XK-75 397 321 13931
04-QD-99 268 346 14777
28-YS-32 296 271 13742
14-OY-75 394 351 15473
19-EZ-09 336 345 14342
88-TY-00 292 316 16581
43-WE-34 398 378 15048
78-TM-44 368 308 16575
99-SA-31 355 322 13718
45-FH-71 285 258 13044
97-JR-63 292 289 14548
66-SF-19 335 265 15168
32-JY-64 277 399 14862
03-HS-96 259 310 16154
70-QT-45 278 386 16833
74-IR-74 308 371 13865
46-QR-87 310 387 14105
78-IZ-57 258 289 14932
91-PP-92 370 366 13618
66-EC-62 253 386 13481
22-TT-63 385 254 14819
51-DI-99 395 315 16790
50-GZ-34 328 398 13956
44-VV-55 309 377 15136
95-LC-81 388 268 14521
81-DA-62 262 389 15106
00-ID-72 335 383 16287
37-YF-63 378 272 15057
58-HH-95 335 381 15531
98-OT-36 376 262 16090
30-DB-62 287 304 15787
11-BB-85 360 331 15444
